P,R1,R2,R3,R4,RC
Un tren viaja a una velocidad de 90 km/h. ¿Cuál es su velocidad en metros porsegundo (m/s)?,a) 15 m/s,b) 25 m/s,c) 30 m/s,d) 45 m/s,2
Un ciclista se mueve a una velocidad constante de 72 km/h. ¿Cuál es su velocidaden metros por segundo (m/s)?,a) 18 m/s,b) 20 m/s,c) 30 m/s,d) 40 m/s,2
Un automóvil se desplaza a una velocidad de 120 km/h. ¿Cuál es su velocidad enmetros por segundo (m/s)?,a) 15 m/s,b) 30 m/s,c) 40 m/s,d) 33 m/s,4
Un automóvil recorre una carretera recta durante 4 horas a una velocidad constantede 80 km/h. ¿Cuál es la distancia total recorrida por el automóvil?,a) 160 km,b) 240 km,c) 320 km,d) 400 km,3
"Un objeto se mueve en línea recta con una velocidad constante de 25 m/s. Si tarda 10 segundos en recorrer una distancia determinada, ¿cuál es la magnitud de  esa distancia?",a) 25 m,b) 100 m,c) 250 m,d) 400 m,3
"Un ciclista recorre una pista circular de 500 metros de longitud a una velocidad constante. Si tarda 2 minutos en dar una vuelta completa, ¿cuál es el valor de su velocidad en metros por segundo?",a) 2.5 m/s,b) 4.0 m/s,c) 12.5 m/s,d) 20.0 m/s,2
Un coche acelera uniformemente desde el reposo a una tasa de 4 m/s² durante 10segundos. ¿Cuál es la velocidad final del coche?,a) 20 m/s,b) 40 m/s,c) 60 m/s,d) 80 m/s,1
"Un objeto se desplaza con una aceleración constante de -2 m/s². Si su velocidad inicial es de 10 m/s, ¿cuál es su velocidad después de 5 segundos? ¿El objeto se detendrá?",a) 0 m/s,b) 5 m/s,c) 20 m/s,d) 25 m/s,1
"Un proyectil es lanzado verticalmente hacia arriba desde el suelo con una velocidad inicial de 30 m/s. Si la aceleración debida a la gravedad es de 9.8 m/s², ¿cuál es laaltura máxima que alcanza el proyectil?",a) 46 m,b) 90 m,c) 135 m,d) 180 m,2
Un vector de desplazamiento tiene componentes de 5 metros en la dirección este (x) y 12 metros en la dirección norte (y). ¿Cuál es la magnitud del vector de desplazamiento resultante?,a) 7 metros,b) 13 metros,c) 17 metros,d) 20 metros,1
Un vector fuerza ejerce una fuerza de 200 N en dirección norte (y) y 100 N ndirección oeste (x). ¿Cuál es la magnitud de la fuerza resultante?,a) 224 N,b) 250 N,c) 200 N,d) 228 N,2
Un vector fuerza ejerce una fuerza de 150 N en dirección este  (x) y 50 N endirecciónsur (y). ¿Cuál es la magnitud de la fuerza resultante?,a) 100 N,b) 158 N,c) 160 N,d) 170 N,1
"Un vector de desplazamiento tiene componentes de 4 metros en la dirección este (x) y 3 metros en la dirección norte (y). Expresa el vector de desplazamiento resultante utilizando vectores unitarios en la forma ""ai + bj"".",a) 4i + 3j,b) 3i + 4j,c) 5i + 2j,,2
"Un vector de fuerza tiene componentes de 12 N en la dirección este (x) y 5 N  en la dirección norte (y). Escribe el vector de fuerza resultante utilizando vectores unitarios en la forma ""ai + bj"".",a) 5i + 12j,b) 12i + 5j,c) 13i + 7j,d) 7i + 13j,1
"Un objeto se mueve en una dirección diagonal. Si sus componentes en las direcciones este (x) y norte (y) están dadas por ""3i + 4j"" respectivamente, ¿cuál es su velocidad resultante en la dirección diagonal?",a) 5m/s,b) 8m/s,c) 4m/s,d)50 m/s,3
"¿Qué representa la variable ""g"" en la fórmula w=mg?",a) La masa del objeto.,b) El peso del objeto.,c) La aceleración debido a la gravedad.,d) La fuerza aplicada al objeto.,4
"Si un objeto tiene una masa de 20 kg y se encuentra en la superficie de la Tierra (g≈ 9.8 m/s²), ¿cuál es su peso?",a) 2 N,b) 20 N,c) 98 N,d) 196 N,1
"Un objeto tiene un peso de 500 N en la superficie de la Tierra. Si la aceleración debido a la gravedad en ese lugar es de aproximadamente 9.8 m/s², ¿cuál es su masa?",a) 51 kg,b) 98 kg,c) 490 kg,,1
"Según la segunda ley de Newton, si se aplica una fuerza neta constante a un objeto, ¿qué sucede con su aceleración?",a) La aceleración aumenta proporcionalmente a la fuerza.,b) La aceleración disminuye proporcionalmente a la fuerza.,c) La aceleración es directamente proporcional a la masa del objeto.,d) La aceleración es inversamente proporcional a la masa del objeto.,3
Un objeto de masa 5 kg se somete a una fuerza neta de 10 N. ¿Cuál es la aceleración del objeto?,a) 50 m/s²,b) 5 m/s²,c) 2 m/s²,d) 0.5 m/s²,4
¿Cuál de las siguientes afirmaciones sobre la segunda ley de Newton es correcta?,a) La fuerza es directamente proporcional a la masa y la aceleración.,b) La fuerza es inversamente proporcional a la masa y la aceleración.,c) La fuerza es directamente proporcional a la masa y inversamente proporcional a la aceleración.,d) La fuerza es inversamente proporcional a la masa y directamente proporcional a la aceleración.,1
¿Cuál enunciado describe correctamente la primera ley de Newton?,"a) ""Todo objeto en movimiento tiende a permanecer en movimiento, y todo objeto en reposo tiende a permanecer en reposo, a menos que actúe sobre él una fuerza neta externa.""","b) ""La fuerza neta que actúa sobre un objeto es igual al producto de su masa y su aceleración.""","c) ""La fuerza aplicada a un objeto es igual a la masa del objeto multiplicada por la gravedad.""","d) ""La aceleración de un objeto es inversamente proporcional a la fuerza neta que actúa sobre él.""",1
"Si un patinador sobre hielo empuja hacia atrás el suelo con una fuerza de 50N,¿cuál es la fuerza de reacción ejercida por el suelo sobre el patinador, de acuerdo con la tercera ley de  Newton?",a) - 50 N,b) 25 N,c) 100 N,d) No se puede determinar sin conocer la masa del patinador.,2
"Dos masas, A y B, están separadas por una distancia de 4 metros. Si la masa A es duplicada y la masa B se triplica, ¿cómo afectará esta modificación a la fuerza de atracción gravitacional entre las masas?",a) La fuerza se incrementará a 12 veces su valor original.,b) La fuerza se incrementará a 6 veces su valor original.,c) La fuerza disminuirá a 1/6 de su valor original.,d) La fuerza disminuirá a 1/12 de su valor original.,4
